"name","recibidas","atendidas","abandonados","transferencias","constestadas","constestadas_10","constestadas_15","constestadas_20","abandonadas_10","abandonadas_15","abandonadas_20","min_espera","duracion","answ","unansw","avgw","avgt","ro10","ro15","ro20","ns10","ns15","ns20","avh210","avh215","avh220"
"HD_CE_Cable","20","19","1","","19","19","19","19","1","1","1","00:00:37","02:32:36","95","5","00:00:01","00:08:01","100","100","100","95","95","95","100","100","100"
"HD_CE_Internet","216","204","11","1","205","186","187","189","11","11","11","00:20:58","20:54:18","94.44","5.09","00:00:05","00:06:07","91.2","91.67","92.59","86.11","86.57","87.5","90.73","91.22","92.2"
"HD_CE_Operador","73","64","9","","64","59","59","60","9","9","9","00:09:33","04:10:32","87.67","12.33","00:00:07","00:03:54","93.15","93.15","94.52","80.82","80.82","82.19","92.19","92.19","93.75"
"HD_CE_Telefonia","74","74","","","74","62","64","64","","","","00:08:50","07:47:07","100","","00:00:07","00:06:18","83.78","86.49","86.49","83.78","86.49","86.49","83.78","86.49","86.49"
